# CutterNest Piezas v1
# Ejemplo de base de cama con cajones
# Base de cama matrimonial 1500×1900×350 de melamina 18 mm (mueble que soporta carga): estructura global con cabecero 1500×600, 2 montantes de cabecero, tablero frontal 1500×300, tarima de somier 1500×1850 y 10 láminas de somier transversales de 130×25×8 mm con separación 60 mm, y dos cajoneras largas de 400×350×1850 con 2 cajones de 6 piezas cada una. Herrajes: 4 pares de correderas telescópicas, 8 esquineros metálicos de unión, soporte central de tarima y zapatas niveladoras.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
# --- Estructura global: cabecero, montantes, tablero frontal, tarima y láminas ---
glb-cabecero,Cabecero cama,1500,600,1,no,#C19A6B,18,"T,B,L,R",estructura
glb-montante-izq,Montante cabecero izquierdo,350,600,1,no,#C19A6B,18,"T,B,L",estructura
glb-montante-der,Montante cabecero derecho,350,600,1,no,#C19A6B,18,"T,B,R",estructura
glb-frontal,Tablero frontal cama,1500,300,1,si,#C19A6B,18,"T,B,L,R",estructura
glb-tarima,Tarima somier,1500,1850,1,si,#D9C2A3,18,"T,B,L,R",estructura
glb-lamina-1,Lamina somier 1,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-2,Lamina somier 2,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-3,Lamina somier 3,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-4,Lamina somier 4,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-5,Lamina somier 5,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-6,Lamina somier 6,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-7,Lamina somier 7,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-8,Lamina somier 8,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-9,Lamina somier 9,130,25,1,no,#D9C2A3,8,"",estructura
glb-lamina-10,Lamina somier 10,130,25,1,no,#D9C2A3,8,"",estructura
# --- Modulo 1: cajonera larga izquierda (2 cajones) ---
m1-base,Base modulo M1,400,1850,1,si,#C19A6B,18,"T,B,L,R",1
m1-tapa,Tapa modulo M1,400,1850,1,si,#C19A6B,18,"T,B,L,R",1
m1-lateral-izq,Lateral izquierdo M1,1850,350,1,no,#C19A6B,18,"T,B,L",1
m1-lateral-der,Lateral derecho M1,1850,350,1,no,#C19A6B,18,"T,B,R",1
m1-fondo,Fondo modulo M1,400,350,1,no,#F2F2F2,18,"",1
m11-cajon-frente,Frente cajon largo superior M1,362,147,1,si,#8B5A2B,15,"T,B,L,R",11
m11-cajon-lateral-izq,Lateral cajon largo superior M1,1795,117,1,no,#D9C2A3,15,"T,B,L",11
m11-cajon-lateral-der,Lateral cajon largo superior M1,1795,117,1,no,#D9C2A3,15,"T,B,R",11
m11-cajon-fondo,Fondo cajon largo superior M1,309,102,1,no,#F2F2F2,15,,11
m11-cajon-cara,Cara cajon largo superior M1,309,117,1,no,#D9C2A3,15,"T,B,L,R",11
m11-cajon-base,Base cajon largo superior M1,309,1795,1,si,#D9C2A3,15,"T,B,L,R",11
m11-cajon-tirador,Tirador cajon largo superior M1,2,20,1,no,#A0A0A0,5,,11
m12-cajon-frente,Frente cajon largo inferior M1,362,147,1,si,#8B5A2B,15,"T,B,L,R",12
m12-cajon-lateral-izq,Lateral cajon largo inferior M1,1795,117,1,no,#D9C2A3,15,"T,B,L",12
m12-cajon-lateral-der,Lateral cajon largo inferior M1,1795,117,1,no,#D9C2A3,15,"T,B,R",12
m12-cajon-fondo,Fondo cajon largo inferior M1,309,102,1,no,#F2F2F2,15,,12
m12-cajon-cara,Cara cajon largo inferior M1,309,117,1,no,#D9C2A3,15,"T,B,L,R",12
m12-cajon-base,Base cajon largo inferior M1,309,1795,1,si,#D9C2A3,15,"T,B,L,R",12
m12-cajon-tirador,Tirador cajon largo inferior M1,2,20,1,no,#A0A0A0,5,,12
# --- Modulo 2: cajonera larga derecha (2 cajones) ---
m2-base,Base modulo M2,400,1850,1,si,#C19A6B,18,"T,B,L,R",2
m2-tapa,Tapa modulo M2,400,1850,1,si,#C19A6B,18,"T,B,L,R",2
m2-lateral-izq,Lateral izquierdo M2,1850,350,1,no,#C19A6B,18,"T,B,L",2
