id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo,pos_z
glb-zocalo,Zocalo corrido armario,1600,100,1,si,#C19A6B,15,"T,B,L,R",estructura,
glb-corona,Corona armario,1600,70,1,si,#C19A6B,15,"T,B,L,R",estructura,
glb-trasera,Panel posterior armario,1600,2300,1,no,#F2F2F2,15,,estructura,
glb-puerta-izq,Puerta corrediza izquierda,780,2250,1,no,#FFFFFF,18,"T,B,L,R",estructura,
glb-puerta-der,Puerta corrediza derecha,780,2250,1,no,#FFFFFF,18,"T,B,L,R",estructura,
m1-base,Base modulo M1,770,520,1,si,#C19A6B,15,"T,B,L,R",1,
m1-tapa,Tapa modulo M1,800,550,1,si,#C19A6B,15,"T,B,L,R",1,
m1-lateral-izq,Lateral izquierdo M1,550,2300,1,no,#C19A6B,15,"T,B,L",1,
m1-lateral-der,Lateral derecho M1,550,2300,1,no,#C19A6B,15,"T,B,R",1,
m1-fondo,Fondo modulo M1,800,2300,1,no,#F2F2F2,15,,1,
m1-barra,Barra ropa M1,740,25,1,si,#A0A0A0,25,,1,
m11-cajon-frente,Frente cajon inferior M1,400,180,1,si,#8B5A2B,15,"T,B,L,R",11,
m11-cajon-lateral-izq,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,L",11,
m11-cajon-lateral-der,Lateral cajon inferior M1,180,450,1,no,#D9C2A3,15,"T,B,R",11,
m11-cajon-fondo,Fondo cajon inferior M1,360,450,1,no,#F2F2F2,15,,11,
m11-cajon-base,Base cajon inferior M1,360,450,1,si,#D9C2A3,15,"T,B,L,R",11,
m11-cajon-tirador,Tirador cajon inferior M1,2,20,1,no,#A0A0A0,5,,11,
m2-base,Base modulo M2,770,520,1,si,#8B5A2B,15,"T,B,L,R",2,
m2-tapa,Tapa modulo M2,800,550,1,si,#8B5A2B,15,"T,B,L,R",2,
m2-lateral-izq,Lateral izquierdo M2,550,2300,1,no,#8B5A2B,15,"T,B,L",2,
m2-lateral-der,Lateral derecho M2,550,2300,1,no,#8B5A2B,15,"T,B,R",2,
m2-fondo,Fondo modulo M2,800,2300,1,no,#F2F2F2,15,,2,
m2-repisa-superior,Repisa superior M2,740,350,1,si,#D9C2A3,15,"T,B,L,R",2,
m2-repisa-inferior,Repisa inferior M2,740,350,2,si,#D9C2A3,15,"T,B,L,R",2,
m21-cajon-frente,Frente cajon inferior M2,400,180,1,si,#C19A6B,15,"T,B,L,R",21,
m21-cajon-lateral-izq,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,L",21,
m21-cajon-lateral-der,Lateral cajon inferior M2,180,450,1,no,#D9C2A3,15,"T,B,R",21,
m21-cajon-fondo,Fondo cajon inferior M2,360,450,1,no,#F2F2F2,15,,21,
m21-cajon-base,Base cajon inferior M2,360,450,1,si,#D9C2A3,15,"T,B,L,R",21,
m21-cajon-tirador,Tirador cajon inferior M2,2,20,1,no,#A0A0A0,5,,21,
